Month,putlocker + watch movies free + watch series free + 123movies + fmovies: (Worldwide)
2018-01,100
2018-02,99
2018-03,88
2018-04,80
2018-05,84
2018-06,78
2018-07,76
2018-08,75
2018-09,68
2018-10,69
2018-11,70
2018-12,77
2019-01,66
2019-02,67
2019-03,57
2019-04,74
2019-05,72
2019-06,67
2019-07,63
2019-08,63
2019-09,59
2019-10,55
2019-11,56
2019-12,58
2020-01,49
2020-02,47
2020-03,56
2020-04,54
2020-05,43
2020-06,37
2020-07,34
2020-08,30
2020-09,29
2020-10,28
2020-11,26
2020-12,26
2021-01,27
2021-02,24
2021-03,24
2021-04,23
2021-05,24
2021-06,27
2021-07,30
2021-08,29
2021-09,29
2021-10,29
2021-11,28
2021-12,33
2022-01,40
2022-02,33
2022-03,32
2022-04,31
2022-05,31
2022-06,32
2022-07,34
2022-08,32
2022-09,31
2022-10,29
2022-11,26
2022-12,29
2023-01,32
2023-02,26
2023-03,30
2023-04,29
2023-05,30
2023-06,41
2023-07,40
2023-08,35
2023-09,35
2023-10,32
2023-11,30
2023-12,34
2024-01,32
2024-02,32
2024-03,35
2024-04,31
2024-05,31
2024-06,36
2024-07,41
2024-08,45
2024-09,37
2024-10,37
2024-11,34
2024-12,43
